18:45:53.859 +   0.029s  python=3.14.4 plataforma=win32 modo=salvar
18:45:53.860 +   0.030s  dll_path=C:\DLLs\Win64\ProfitDLL.dll existe=True versao=4.0.0.42
18:45:53.860 +   0.031s  credenciais: key=34***************** user=di********************** senha=St********
18:45:54.071 +   0.241s  chamando DLLInitializeMarketLogin...
18:45:54.286 +   0.457s  DLLInitializeMarketLogin retornou 0 = NL_OK
18:45:54.287 +   0.457s  esperando MARKET_DATA conectado (ate' 30.0s)...
18:45:54.989 +   1.159s  CALLBACK state: tipo=3 (ATIVACAO) valor=0
18:45:55.007 +   1.177s  CALLBACK state: tipo=0 (LOGIN) valor=0
18:45:55.342 +   1.512s  CALLBACK state: tipo=2 (MARKET_DATA) valor=1
18:45:55.380 +   1.550s  CALLBACK state: tipo=2 (MARKET_DATA) valor=2
18:45:55.381 +   1.551s  conectado: login_ok=True market_ok=True
18:45:56.043 +   2.213s  CALLBACK state: tipo=2 (MARKET_DATA) valor=4
18:45:56.387 +   2.557s  modo SALVAR: WINFUT de 24/08/2026 a 15/09/2026 (17 dia(s) uteis) -> data/raw
18:45:56.405 +   2.575s  SubscribeTicker(WINFUT,F) retornou 0 = NL_OK
18:45:57.406 +   3.576s  --- PRIMING (descartado) GetHistoryTrades('WINFUT', 'F', '24/08/2026 09:00:00', '24/08/2026 18:35:00') ---
18:45:57.407 +   3.578s  priming retornou 0 = NL_OK
18:45:57.408 +   3.578s  CALLBACK progress: ticker=WINFUT progresso=0
18:45:58.014 +   4.184s  CALLBACK progress: ticker=WINFUT progresso=87
18:45:58.084 +   4.255s  CALLBACK progress: ticker=WINFUT progresso=88
18:45:58.170 +   4.340s  CALLBACK progress: ticker=WINFUT progresso=89
18:45:58.258 +   4.428s  CALLBACK progress: ticker=WINFUT progresso=90
18:45:58.376 +   4.546s  CALLBACK progress: ticker=WINFUT progresso=91
18:45:58.423 +   4.594s  CALLBACK progress: ticker=WINFUT progresso=92
18:45:58.489 +   4.659s  CALLBACK progress: ticker=WINFUT progresso=93
18:45:58.584 +   4.755s  CALLBACK progress: ticker=WINFUT progresso=94
18:45:58.643 +   4.814s  CALLBACK progress: ticker=WINFUT progresso=95
18:45:58.673 +   4.843s  CALLBACK progress: ticker=WINFUT progresso=96
18:45:58.717 +   4.887s  CALLBACK progress: ticker=WINFUT progresso=97
18:45:58.758 +   4.929s  CALLBACK progress: ticker=WINFUT progresso=98
18:45:58.760 +   4.931s  CALLBACK progress: ticker=WINFUT progresso=99
18:45:58.763 +   4.933s  CALLBACK progress: ticker=WINFUT progresso=99
18:45:59.538 +   5.708s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:00.224 +   6.395s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:00.811 +   6.981s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:01.486 +   7.656s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:02.058 +   8.229s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:02.602 +   8.772s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:03.184 +   9.354s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:03.726 +   9.896s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:04.308 +  10.478s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:04.838 +  11.008s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:05.384 +  11.554s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:05.989 +  12.159s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:06.573 +  12.743s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:07.177 +  13.347s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:07.732 +  13.903s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:08.259 +  14.429s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:08.804 +  14.974s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:09.373 +  15.544s  CALLBACK progress: ticker=WINFUT progresso=99
